OrderID,ProductName,OrderDate,Cutomer Name,Customer Country,Customer City,Sales Quantity,Sales Price,Title Last and First Name
10248,Queso Cabrales,2018-7-4 18:0,Vins et alcools Chevalier,France,Reims,12,14,Sales Manager#Buchanan#Steven
10248,Singaporean Hokkien Fried Mee,2018-7-4 8:12,Vins et alcools Chevalier,France,Reims,10,9.8,Sales Manager#Buchanan#Steven
10248,Mozzarella di Giovanni,2018-7-5 3:24,Vins et alcools Chevalier,France,Reims,5,34.8,Sales Manager#Buchanan#Steven
10249,Tofu,2018-7-6 5:48,Toms Spezialit?ten,Germany,M?nster,9,18.6,Sales Representative#Suyama#Michael
10249,Manjimup Dried Apples,2018-7-6 1:24,Toms Spezialit?ten,Germany,M?nster,40,42.4,Sales Representative#Suyama#Michael
10250,Jack's New England Clam Chowder,2018-7-8 13:36,Hanari Carnes,Brazil,Rio de Janeiro,10,7.7,Sales Representative#Peacock#Margaret
10250,Manjimup Dried Apples,2018-7-9 9:48,Hanari Carnes,Brazil,Rio de Janeiro,35,42.4,Sales Representative#Peacock#Margaret
10250,Louisiana Fiery Hot Pepper Sauce,2018-7-9 0:0,Hanari Carnes,Brazil,Rio de Janeiro,15,16.8,Sales Representative#Peacock#Margaret
10251,Gustaf's Kn?ckebr?d,2018-7-9 8:0,Victuailles en stock,France,Lyon,6,16.8,Sales Representative#Leverling#Janet
10251,Ravioli Angelo,2018-7-8 23:0,Victuailles en stock,France,Lyon,15,15.6,Sales Representative#Leverling#Janet
10251,Louisiana Fiery Hot Pepper Sauce,2018-7-9 5:36,Victuailles en stock,France,Lyon,20,16.8,Sales Representative#Leverling#Janet
10252,Sir Rodney's Marmalade,2018-7-11 0:0,Supr?mes d?lices,Belgium,Charleroi,40,64.8,Sales Representative#Peacock#Margaret
10252,Geitost,2018-7-9 20:36,Supr?mes d?lices,Belgium,Charleroi,25,2,Sales Representative#Peacock#Margaret
10252,Camembert Pierrot,2018-7-10 16:0,Supr?mes d?lices,Belgium,Charleroi,40,27.2,Sales Representative#Peacock#Margaret
10253,Gorgonzola Telino,2018-7-10 23:24,Hanari Carnes,Brazil,Rio de Janeiro,20,10,Sales Representative#Leverling#Janet
10253,Chartreuse verte,2018-7-11 13:36,Hanari Carnes,Brazil,Rio de Janeiro,42,14.4,Sales Representative#Leverling#Janet
10253,Maxilaku,2018-7-10 23:36,Hanari Carnes,Brazil,Rio de Janeiro,40,16,Sales Representative#Leverling#Janet
10254,Guaran? Fant?stica,2018-7-12 16:24,Chop-suey Chinese,Switzerland,Bern,15,3.6,Sales Manager#Buchanan#Steven
10254,P?t? chinois,2018-7-11 15:48,Chop-suey Chinese,Switzerland,Bern,21,19.2,Sales Manager#Buchanan#Steven
10254,Longlife Tofu,2018-7-11 20:12,Chop-suey Chinese,Switzerland,Bern,21,8,Sales Manager#Buchanan#Steven
10255,Chang,2018-7-12 17:48,Richter Supermarkt,Switzerland,Gen?ve,20,15.2,Sales Representative#Dodsworth#Anne
10255,Pavlova,2018-7-12 8:36,Richter Supermarkt,Switzerland,Gen?ve,35,13.9,Sales Representative#Dodsworth#Anne
10255,Inlagd Sill,2018-7-12 16:24,Richter Supermarkt,Switzerland,Gen?ve,25,15.2,Sales Representative#Dodsworth#Anne
10255,Raclette Courdavault,2018-7-13 4:48,Richter Supermarkt,Switzerland,Gen?ve,30,44,Sales Representative#Dodsworth#Anne
10256,Perth Pasties,2018-7-16 7:0,Wellington Importadora,Brazil,Resende,15,26.2,Sales Representative#Leverling#Janet
10256,Original Frankfurter gr?ne So?e,2018-7-15 6:12,Wellington Importadora,Brazil,Resende,12,10.4,Sales Representative#Leverling#Janet
10257,Schoggi Schokolade,2018-7-17 18:12,HILARION-Abastos,Venezuela,San Crist?bal,25,35.1,Sales Representative#Peacock#Margaret
10257,Chartreuse verte,2018-7-17 10:48,HILARION-Abastos,Venezuela,San Crist?bal,6,14.4,Sales Representative#Peacock#Margaret
