cntry,age,ageg10,ageg05,religion,religion03,religion06,pvLIT,pvNUM,pvPSL,wageh
ISR,39,35-44,35-39,Jewish,Jewish,Jewish,333.8458,316.9205,302.6197,55
ISR,64,55-65,60-65,Jewish,Jewish,Jewish,299.818,227.9413,,41.62
ISR,65,55-65,60-65,Jewish,Jewish,Jewish,278.5347,295.4203,280.0782,39.31
ISR,49,45-54,45-49,Jewish,Jewish,Jewish,318.6822,307.7909,371.9478,157.23
ISR,29,25-34,25-29,Jewish,Jewish,Jewish,269.697,229.2663,292.0629,-1
ISR,26,25-34,25-29,Moslems,Arab,Moslems,213.3557,204.4934,218.2037,-1
ISR,35,35-44,35-39,Moslems,Arab,Moslems,174.3035,163.2694,,-1
ISR,33,25-34,30-34,Jewish,Jewish,Jewish,348.7287,340.9675,330.5413,57.8
ISR,44,35-44,40-44,Jewish,Jewish,Jewish,311.9808,316.8469,307.8988,-1
ISR,37,35-44,35-39,Jewish,Jewish,Jewish,264.5038,267.7062,236.8213,
ISR,37,35-44,35-39,Jewish,Jewish,Jewish,204.0937,217.6411,253.2628,30
ISR,52,45-54,50-54,Jewish,Jewish,Jewish,320.2643,327.502,332.8044,102.76
ISR,59,55-65,55-59,Jewish,Jewish,Jewish,204.4159,201.0701,,-1
ISR,48,45-54,45-49,Jewish,Jewish,Jewish,212.755,186.7116,181.2011,66.06
ISR,31,25-34,30-34,Jewish,Jewish,Jewish,258.9344,230.2053,252.0062,27
ISR,16,16-24,16-19,Jewish,Jewish,Jewish,252.4069,256.2958,258.175,20.63
ISR,22,16-24,20-24,Jewish,Jewish,Jewish,207.5788,190.7869,192.5196,-1
ISR,61,55-65,60-65,Jewish,Jewish,Jewish,279.4561,276.2329,257.6147,-1
ISR,22,16-24,20-24,Jewish,Jewish,Jewish,291.5487,280.4555,308.9494,25
ISR,57,55-65,55-59,Jewish,Jewish,Jewish,180.7964,189.5165,200.8929,-1
ISR,21,16-24,20-24,Jewish,Jewish,Jewish,313.1411,339.9949,338.8958,3.7
ISR,29,25-34,25-29,Jewish,Jewish,Jewish,334.9752,318.6701,,60
ISR,60,55-65,60-65,Jewish,Jewish,Jewish,330.9026,351.3517,369.6216,98.39
ISR,64,55-65,60-65,Jewish,Jewish,Jewish,210.3531,265.2675,221.3583,-1
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,318.8232,329.1292,329.3321,-1
ISR,42,35-44,40-44,Moslems,Arab,Moslems,109.068,81.39806,,24
ISR,50,45-54,50-54,Jewish,Jewish,Jewish,266.1609,253.5238,230.4957,153.85
ISR,46,45-54,45-49,Jewish,Jewish,Jewish,310.6767,299.4998,322.0995,112.3
ISR,56,55-65,55-59,Jewish,Jewish,Jewish,297.6699,271.1155,307.4017,122.99
ISR,19,16-24,16-19,Jewish,Jewish,Jewish,300.2546,299.4011,319.1819,
ISR,20,16-24,20-24,Jewish,Jewish,Jewish,342.883,255.2987,,
ISR,35,35-44,35-39,Jewish,Jewish,Jewish,298.9591,294.1627,289.2632,55.49
ISR,61,55-65,60-65,Not_Classified,Not_Classified,Not_Classified,281.788,252.1453,177.4823,63.58
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,321.386,307.9627,311.8597,-1
ISR,39,35-44,35-39,Jewish,Jewish,Jewish,297.3858,290.982,289.0958,51.38
ISR,50,45-54,50-54,Jewish,Jewish,Jewish,340.8101,342.0157,360.4666,144.51
ISR,34,25-34,30-34,Jewish,Jewish,Jewish,212.9284,183.2645,230.7092,38.46
ISR,39,35-44,35-39,Jewish,Jewish,Jewish,305.3279,311.8519,298.6537,57.8
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,316.9209,332.4656,300.0074,-1
ISR,23,16-24,20-24,Jewish,Jewish,Jewish_Haredim,319.7714,340.062,318.1815,25.43
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,302.3659,281.5284,247.0221,38
ISR,39,35-44,35-39,Jewish,Jewish,Jewish_Haredim,256.3221,213.1599,,100
ISR,33,25-34,30-34,Jewish,Jewish,Jewish_Haredim,246.1035,246.2297,254.2361,80
ISR,21,16-24,20-24,Jewish,Jewish,Jewish,224.6515,227.9983,223.5092,-1
ISR,23,16-24,20-24,Jewish,Jewish,Jewish_Haredim,259.0829,189.9191,276.7041,105
ISR,47,45-54,45-49,Jewish,Jewish,Jewish_Haredim,273.6679,308.0945,235.3169,70
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,278.4007,291.9866,301.7037,-1
ISR,58,55-65,55-59,Jewish,Jewish,Jewish,268.0152,266.9961,250.6274,39.31
ISR,30,25-34,30-34,Jewish,Jewish,Jewish,329.0696,308.8414,309.0073,34.68
ISR,22,16-24,20-24,Jewish,Jewish,Jewish,88.80275,36.48289,,23
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,230.2112,233.8158,233.4204,33.03
ISR,59,55-65,55-59,Jewish,Jewish,Jewish,88.1984,64.33131,,-1
ISR,43,35-44,40-44,Jewish,Jewish,Jewish,255.5601,259.9225,298.1925,27.75
ISR,24,16-24,20-24,Jewish,Jewish,Jewish,227.7002,205.597,208.2639,26.01
ISR,23,16-24,20-24,Jewish,Jewish,Jewish,334.7969,254.6537,,-1
ISR,47,45-54,45-49,Jewish,Jewish,Jewish,258.5852,235.0151,,28.57
ISR,24,16-24,20-24,Jewish,Jewish,Jewish_Haredim,166.9689,184.4341,202.5554,-1
ISR,46,45-54,45-49,Jewish,Jewish,Jewish_Haredim,284.2627,252.7278,,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish,258.3911,265.4744,366.0706,-1
ISR,45,45-54,45-49,Jewish,Jewish,Jewish_Haredim,270.6619,278.8499,241.5437,-1
ISR,32,25-34,30-34,Jewish,Jewish,Jewish_Haredim,295.3661,315.1992,316.3299,-1
ISR,42,35-44,40-44,Jewish,Jewish,Jewish_Haredim,267.7783,235.4938,,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,255.6338,300.5913,243.8037,-1
ISR,52,45-54,50-54,Jewish,Jewish,Jewish,302.2716,191.9178,,38.54
ISR,42,35-44,40-44,Not_Classified,Not_Classified,Not_Classified,308.553,274.1239,281.4878,30
ISR,23,16-24,20-24,Jewish,Jewish,Jewish,300.2513,299.9184,327.3062,39.31
ISR,25,25-34,25-29,Jewish,Jewish,Jewish,238.975,204.1259,,30.97
ISR,54,45-54,50-54,Jewish,Jewish,Jewish,223.1237,176.212,,23.62
ISR,56,55-65,55-59,Jewish,Jewish,Jewish,269.9837,266.3075,227.304,66.47
ISR,44,35-44,40-44,Jewish,Jewish,Jewish_Haredim,243.867,245.5938,275.1048,30
ISR,47,45-54,45-49,Jewish,Jewish,Jewish,272.8098,250.1626,239.8923,60.85
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,287.3829,330.9124,278.7487,75.14
ISR,41,35-44,40-44,Jewish,Jewish,Jewish_Haredim,321.3325,344.364,301.5676,-1
ISR,32,25-34,30-34,Jewish,Jewish,Jewish,139.588,126.1554,,-1
ISR,47,45-54,45-49,Jewish,Jewish,Jewish,237.4274,229.8754,217.2866,43.63
ISR,38,35-44,35-39,Jewish,Jewish,Jewish,291.1105,246.9477,283.311,-1
ISR,62,55-65,60-65,Jewish,Jewish,Jewish,166.3813,200.618,171.4966,-1
ISR,29,25-34,25-29,Jewish,Jewish,Jewish_Haredim,224.6464,230.1609,239.2738,-1
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,269.8379,286.6275,304.3159,20.35
ISR,17,16-24,16-19,Jewish,Jewish,Jewish,285.0611,280.227,307.5281,-1
ISR,20,16-24,20-24,Jewish,Jewish,Jewish_Haredim,327.1135,327.902,338.8156,-1
ISR,21,16-24,20-24,Jewish,Jewish,Jewish_Haredim,170.778,166.4176,210.6568,25
ISR,44,35-44,40-44,Jewish,Jewish,Jewish_Haredim,250.4454,270.3957,254.1121,92.49
ISR,30,25-34,30-34,Jewish,Jewish,Jewish_Haredim,163.2873,162.711,168.2448,
ISR,35,35-44,35-39,Jewish,Jewish,Jewish,303.7551,319.456,299.1462,-1
ISR,36,35-44,35-39,Jewish,Jewish,Jewish_Haredim,355.6904,376.306,366.8416,110.98
ISR,40,35-44,40-44,Jewish,Jewish,Jewish,231.047,228.0111,204.6969,-1
ISR,42,35-44,40-44,Jewish,Jewish,Jewish_Haredim,283.7621,284.8638,252.5047,-1
ISR,17,16-24,16-19,Jewish,Jewish,Jewish,289.3337,328.1009,354.6262,-1
ISR,31,25-34,30-34,Jewish,Jewish,Jewish_Haredim,354.1898,340.0547,342.9942,54.91
ISR,25,25-34,25-29,Jewish,Jewish,Jewish_Haredim,289.8114,284.7751,274.58,28
