OrderID,OrderDate,Cutomer Name,Customer Country,Customer City,Product Code@ProductName@Sales Cost,Sales Quantity,Sales Price,Fee,Department ,Discount
10248,04/07/2018,Vins et alcools Chevalier,France,Reims,11@Queso Cabrales@5.39308,12,14,6773,Defense,19
10248,04/07/2018,Vins et alcools Chevalier,France,Reims,42@Singaporean Hokkien Fried Mee@3.775156,10,9.8,8062,Culture and Sports,15
10248,04/07/2018,Vins et alcools Chevalier,France,Reims,72@Mozzarella di Giovanni@13.405656,5,34.8,9155,Culture and Sports,24
10249,05/07/2018,Toms Spezialit?ten,Israel,Tel Aviv,14@Tofu@7.165092,9,18.6,9124,Culture and Sports,13
10249,05/07/2018,Toms Spezialit?ten,Israel,Tel Aviv,51@Manjimup Dried Apples@16.333328,40,42.4,6008,Communications,15
10250,08/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,41@Jack's New England Clam Chowder@2.966194,10,7.7,7191,Culture and Sports,12
10250,08/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,51@Manjimup Dried Apples@16.333328,35,42.4,7403,Economy and Industry,19
10250,08/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,65@Louisiana Fiery Hot Pepper Sauce@6.471696,15,16.8,11008,Culture and Sports,18
10251,08/07/2018,Victuailles en stock,France,Lyon,22@Gustaf's Kn?ckebr?d@6.471696,6,16.8,6415,Agriculture and Rural Development,7
10251,08/07/2018,Victuailles en stock,France,Lyon,57@Ravioli Angelo@6.009432,15,15.6,9832,Energy,10
10251,08/07/2018,Victuailles en stock,France,Lyon,65@Louisiana Fiery Hot Pepper Sauce@6.471696,20,16.8,7216,Finance,14
10252,09/07/2018,Supr?mes d?lices,Belgium,Charleroi,20@Sir Rodney's Marmalade@24.962256,40,64.8,9802,Defense,13
10252,09/07/2018,Supr?mes d?lices,Belgium,Charleroi,33@Geitost@0.77044,25,2,9943,Agriculture and Rural Development,24
10252,09/07/2018,Supr?mes d?lices,Belgium,Charleroi,60@Camembert Pierrot@10.477984,40,27.2,5956,Communications,19
10253,10/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,31@Gorgonzola Telino@3.8522,20,10,9495,Finance,8
10253,10/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,39@Chartreuse verte@5.547168,42,14.4,6500,Finance,11
10253,10/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,49@Maxilaku@6.16352,40,16,11370,Finance,6
10254,11/07/2018,Chop-suey Chinese,Switzerland,Bern,24@Guaran? Fant?stica@1.386792,15,3.6,5516,Culture and Sports,23
10254,11/07/2018,Chop-suey Chinese,Switzerland,Bern,55@P?t? chinois@7.396224,21,19.2,6070,Economy and Industry,15
10254,11/07/2018,Chop-suey Chinese,Switzerland,Bern,74@Longlife Tofu@3.08176,21,8,11175,Communications,19
10255,12/07/2018,Richter Supermarkt,Switzerland,Gen?ve,2@Chang@5.855344,20,15.2,6101,Agriculture and Rural Development,14
10255,12/07/2018,Richter Supermarkt,Switzerland,Gen?ve,16@Pavlova@5.354558,35,13.9,6340,Finance,6
10255,12/07/2018,Richter Supermarkt,Switzerland,Gen?ve,36@Inlagd Sill@5.855344,25,15.2,5560,Communications,18
10255,12/07/2018,Richter Supermarkt,Switzerland,Gen?ve,59@Raclette Courdavault@16.94968,30,44,5737,Culture and Sports,5
10256,15/07/2018,Wellington Importadora,Brazil,Resende,53@Perth Pasties@10.092764,15,26.2,7695,Agriculture and Rural Development,8
10256,15/07/2018,Wellington Importadora,Brazil,Resende,77@Original Frankfurter gr?ne So?e@4.006288,12,10.4,12136,Agriculture and Rural Development,17
10257,16/07/2018,HILARION-Abastos,Venezuela,San Crist?bal,27@Schoggi Schokolade@13.521222,25,35.1,10074,Defense,18
10257,16/07/2018,HILARION-Abastos,Venezuela,San Crist?bal,39@Chartreuse verte@5.547168,6,14.4,8813,Defense,15
10257,16/07/2018,HILARION-Abastos,Venezuela,San Crist?bal,77@Original Frankfurter gr?ne So?e@4.006288,15,10.4,9584,Energy,13
